0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/o1n.jpg HTTP/1.1" 200 80423
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/fas5.jpg HTTP/1.1" 200 33251
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRDAA3050F030.jpeg HTTP/1.1" 200 66089
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/fas1.jpg HTTP/1.1" 200 66891
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRDF4ECE74248.jpeg HTTP/1.1" 200 35219
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/fas2.jpg HTTP/1.1" 200 37847
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRDFE3D10ABC8.jpeg HTTP/1.1" 200 58863
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRD3DC08EC65E.jpeg HTTP/1.1" 200 49150
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRD6F40930D69.jpeg HTTP/1.1" 200 58338
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/c1.png HTTP/1.1" 200 55178
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/c2.png HTTP/1.1" 200 84110
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/jquery.flexslider.js HTTP/1.1" 200 54915
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/c3.png HTTP/1.1" 200 69232
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/o2n.jpg HTTP/1.1" 200 71421
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/03n.jpg HTTP/1.1" 200 88180
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRDCB7EC773D0.jpeg HTTP/1.1" 200 44318
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/PRD73D8B3B7AB.jpeg HTTP/1.1" 200 70134
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/css/flowregister.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/jquery-2.1.3.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/bb3.jpg HTTP/1.1" 200 18635
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/bb5.jpg HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/bb1.jpg HTTP/1.1" 200 35525
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/abtbtm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/js/jquery-2.1.4.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/images/banner2.jpg HTTP/1.1" 200 1644857
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/js/bootstrap.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Aug/2018:16:45:32 +0530] "GET /FashionWheel/resources/js/jquery.magnific-popup.js HTTP/1.1" 404 1047
